country,calorie_weighted_total_change_pct,calorie_weighted_climate_only_change_pct,calorie_weighted_irrigation_loss_pct,wheat_total_change_pct,wheat_climate_only_pct,wheat_irrigation_loss_pct,wheat_baseline_production_mt,wheat_collapsed_production_mt,rice_total_change_pct,rice_climate_only_pct,rice_irrigation_loss_pct,rice_baseline_production_mt,rice_collapsed_production_mt,maize_total_change_pct,maize_climate_only_pct,maize_irrigation_loss_pct,maize_baseline_production_mt,maize_collapsed_production_mt
S. Sudan,-5.74,-5.73,-0.01,-22.52,-22.52,0.0,0.0,0.0,-1.17,-1.17,0.0,0.0,0.0,-5.74,-5.73,-0.01,0.22,0.21
Turkmenistan,-5.47,2.9,-8.37,-5.46,3.05,-8.52,4.39,4.15,-12.07,-10.7,-1.36,0.1,0.08,4.24,10.89,-6.64,0.05,0.05
Somaliland,-5.46,-5.46,0.0,-10.09,-10.09,0.0,0.0,0.0,,,,,,-4.92,-4.92,0.0,0.01,0.01
Sudan,-5.42,11.43,-16.85,-4.92,12.88,-17.8,0.86,0.81,-25.02,-25.02,0.0,0.0,0.0,-14.08,-14.08,0.0,0.04,0.04
Mauritania,-5.24,-1.01,-4.23,-10.09,-10.09,0.0,0.0,0.0,-2.66,1.25,-3.91,0.32,0.31,-26.14,-19.19,-6.95,0.03,0.02
United Kingdom,-5.12,-5.12,0.0,-5.12,-5.12,0.0,9.85,9.35,,,,,,,,,,
Haiti,-5.09,1.73,-6.82,,,,,,-9.77,3.08,-12.85,0.45,0.41,-1.65,0.75,-2.4,0.48,0.47
Uzbekistan,-5.05,1.58,-6.62,-5.54,0.82,-6.36,6.83,6.46,-2.73,4.48,-7.21,0.23,0.22,-0.35,8.97,-9.32,0.59,0.58
Croatia,-5.02,-5.02,-0.0,-5.74,-5.74,0.0,0.65,0.61,,,,,,-4.75,-4.74,-0.0,1.57,1.49
Kazakhstan,-5.01,-4.53,-0.49,-5.03,-4.94,-0.09,29.56,28.07,6.51,14.37,-7.86,0.08,0.08,-5.16,2.86,-8.02,1.39,1.31
Serbia,-5.01,-5.01,-0.0,-9.79,-9.79,0.0,2.94,2.65,4.92,4.92,0.0,0.0,0.0,-2.77,-2.77,-0.0,5.88,5.72
